Date,index_value
2014-01-02,1.0
2014-01-03,1.000866032157745
2014-01-07,1.0041150350958459
2014-01-08,1.0035006028265665
2014-01-09,1.0063704973313508
2014-01-10,1.015151897141308
2014-01-13,1.015022596190362
2014-01-14,1.012593615796925
2014-01-15,1.0256217240412626
2014-01-16,1.0275745596214767
2014-01-17,1.0307056835706596
2014-01-20,1.0258788524098035
2014-01-21,1.0244456115321443
2014-01-22,1.0323070979086841
2014-01-23,1.0166749779455335
2014-01-24,0.999287626239878
2014-01-27,0.9964594399856235
2014-01-28,1.002699046364327
2014-01-29,0.9957735909546941
2014-01-30,0.9920384366506462
2014-01-31,0.9889889943791048
2014-02-03,0.9734730481330144
2014-02-04,0.9698786689712662
2014-02-05,0.9780831860444383
2014-02-06,0.9915870148440535
2014-02-07,0.9949209704904155
2014-02-10,0.996640300155396
2014-02-11,1.0126755586918363
2014-02-12,1.0099238310633085
2014-02-13,1.0142037742906724
2014-02-14,1.0153447054407772
2014-02-17,1.0228031574010534
2014-02-18,1.0135157788239537
2014-02-19,1.0204570382177307
2014-02-20,1.021028491889215
2014-02-21,1.028322919941914
2014-02-24,1.0380336624417021
2014-02-25,1.0385123517365402
2014-02-26,1.0386072304272018
2014-02-27,1.03650874366398
2014-02-28,1.038235766137681
2014-03-03,1.008470061351325
2014-03-04,1.0295726508533805
2014-03-05,1.0286615454271324
2014-03-06,1.037779321392135
2014-03-07,1.018744388327131
2014-03-10,1.0163410628811196
2014-03-11,1.0154413169320178
2014-03-12,1.0055002473546801
2014-03-13,0.9981910869240385
2014-03-14,0.9943420943353494
2014-03-17,1.0102694177989875
2014-03-18,1.0146764525667669
2014-03-19,1.0143853656769857
2014-03-20,1.0087210211097974
2014-03-21,1.0088309014215198
2014-03-24,0.9937673251012782
2014-03-25,1.0085757275434883
2014-03-26,1.0156576773453143
2014-03-27,1.0148564969434177
2014-03-28,1.0218504053897535
2014-03-31,1.03729362373117
2014-04-01,1.0449337649871864
2014-04-02,1.0462588034935638
2014-04-03,1.0441521364483992
2014-04-04,1.047305616080784
2014-04-07,1.0393885008357833
2014-04-08,1.0416799041581823
2014-04-09,1.0473643661218277
2014-04-10,1.0432792007205005
2014-04-11,1.0374359341206818
2014-04-14,1.0422932381165864
2014-04-15,1.0255826562543309
2014-04-16,1.0367586405846259
2014-04-17,1.0363774587577896
2014-04-22,1.058424858158618
2014-04-23,1.0498320462327637
2014-04-24,1.0587446732035537
2014-04-25,1.0598328322390538
2014-04-28,1.063550430571871
2014-04-29,1.0744997130777938
2014-04-30,1.077061072978359
2014-05-02,1.0777689446790015
2014-05-05,1.0748597373847335
2014-05-06,1.0667510407412013
2014-05-07,1.0621118153166444
2014-05-08,1.0752076036859417
2014-05-09,1.0757139869232606
2014-05-12,1.0844520426685806
2014-05-13,1.0952294830150193
2014-05-14,1.0959330275725723
2014-05-15,1.1013758383952286
2014-05-16,1.0944687254905117
2014-05-19,1.0909434549103572
2014-05-20,1.0924446305287772
2014-05-21,1.0952735415486303
2014-05-22,1.09978272650993
2014-05-23,1.1037896873497979
2014-05-26,1.1049941994227575
2014-05-27,1.1069877925862404
2014-05-28,1.1059023274412352
2014-05-30,1.106582057329947
2014-06-02,1.1074808462913106
2014-06-03,1.104174458287361
2014-06-04,1.1069793179711076
2014-06-05,1.099374756856226
2014-06-09,1.1131044684144802
2014-06-10,1.1114972658627704
2014-06-11,1.1077763028015588
2014-06-12,1.1073703869084555
2014-06-13,1.100709278884738
2014-06-16,1.0921518983878178
2014-06-17,1.0900840342822637
2014-06-18,1.088117707964868
2014-06-19,1.0969340848043185
2014-06-23,1.1052555842605007
2014-06-24,1.1121823380728177
2014-06-25,1.0970710171981006
2014-06-26,1.0946889400399977
2014-06-27,1.1009422322730267
2014-06-30,1.101054913224774
2014-07-01,1.1071572144502495
2014-07-02,1.1106380984160813
2014-07-03,1.1345530082040598
2014-07-04,1.129088563506189
2014-07-07,1.1250764034309533
2014-07-08,1.1130841740450408
